angle;steering;sonarAngle;fronDistance;leftDistance;rightDistance,distance;fullDistance
2;4,934375000000003;-0,6;88,5;32,9;56,9;82,77509842519684;82,77509842519684
1;4,934375000000003;-1,8;87,3;32,9;56,9;83,33764763779527;83,33764763779527
1;4,934375000000003;-3,0;87,3;32,9;56,9;83,739468503937;83,739468503937
1;4,934375000000003;-2,6;87,3;32,9;56,70000000000001;84,22165354330708;84,22165354330708
1;4,934375000000003;-1,6;86,09999999999999;32,9;56,70000000000001;84,62347440944882;84,62347440944882
1;4,934375000000003;-0,4;86,09999999999999;33,0;56,70000000000001;85,10565944881888;85,10565944881888
1;4,934375000000003;-0,4;86,09999999999999;33,0;57,20000000000001;85,50748031496061;85,50748031496061
1;4,934375000000003;-1,2;84,3;33,0;57,20000000000001;85,98966535433069;85,98966535433069
0;4,934375000000003;-2,0;84,3;33,0;57,20000000000001;86,47185039370077;86,47185039370077
0;4,934375000000003;-1,2;84,3;33,0;58,1;86,95403543307085;86,95403543307085
0;5,934375000000003;0,0;82,20000000000001;33,0;58,1;87,35585629921259;87,35585629921259
0;8,134375000000002;1,0;82,20000000000001;33,0;58,1;87,91840551181101;87,91840551181101
0;10,334375;1,0;82,20000000000001;33,0;59,9;88,32022637795275;88,32022637795275
-1;11,934375;-0,6;80,20000000000001;33,0;59,9;89,12386811023621;89,12386811023621
-1;12,134375;-2,0;80,20000000000001;33,4;59,9;89,76678149606299;89,76678149606299
-1;12,134375;-1,4;80,20000000000001;33,4;60,3;90,24896653543307;90,24896653543307
-1;12,134375;0,0;79,20000000000001;33,4;60,3;90,73115157480315;90,73115157480315
-1;12,134375;1,2;79,20000000000001;33,0;60,3;91,13297244094488;91,13297244094488
-1;12,134375;2,4;79,20000000000001;33,0;60,50000000000001;91,61515748031496;91,61515748031496
-1;12,134375;2,0;78,59999999999999;33,0;60,50000000000001;92,09734251968504;92,09734251968504
-1;12,134375;0,8;78,59999999999999;33,0;60,50000000000001;92,49916338582677;92,49916338582677
-1;12,134375;-0,2;78,59999999999999;33,0;59,8;92,98134842519685;92,98134842519685
-2;12,134375;0,2;76,40000000000001;33,0;59,8;93,38316929133859;93,38316929133859
-2;12,134375;1,4;76,40000000000001;32,8;59,8;93,86535433070867;93,86535433070867
-2;12,134375;2,6;76,40000000000001;32,8;59,9;94,2671751968504;94,2671751968504
-2;12,334375;3,0;75,8;32,8;59,9;94,74936023622048;94,74936023622048
-2;12,734375;2,4;75,8;32,8;59,9;95,15118110236221;95,15118110236221
-2;13,534375;1,4;75,8;32,8;61,40000000000001;95,63336614173229;95,63336614173229
-2;14,134375;1,2;75,8;32,8;61,40000000000001;96,11555118110235;96,11555118110235
-2;14,734375;2,4;75,8;32,8;61,40000000000001;96,67810039370078;96,67810039370078
-2;15,334375;3,6;75,8;32,8;63,00000000000001;97,4013779527559;97,4013779527559
-2;15,334375;2,2;72,8;32,8;63,00000000000001;98,20501968503937;98,20501968503937
-2;15,334375;0,8;72,8;32,9;63,00000000000001;99,33011811023622;99,33011811023622
-2;15,334375;1,2;72,8;32,9;64,90000000000001;100,0533956692913;100,0533956692913
-2;15,334375;3,4;69,70000000000001;32,9;64,90000000000001;100,9374015748032;100,9374015748032
-1;15,334375;4,4;69,70000000000001;32,6;64,90000000000001;101,9017716535433;101,9017716535433
-1;15,334375;3,0;69,70000000000001;32,6;64,90000000000001;102,4643208661417;102,4643208661417
-1;15,334375;1,6;68,1;32,6;64,90000000000001;102,9465059055118;102,9465059055118
-1;15,334375;0,6;68,1;32,6;64,90000000000001;103,4286909448819;103,4286909448819
-1;15,334375;0,6;68,1;32,6;64,90000000000001;103,9912401574803;103,9912401574803
-1;15,334375;1,2;66,6;32,6;64,90000000000001;104,393061023622;104,393061023622
-1;15,334375;1,4;66,6;33,0;64,90000000000001;104,9556102362205;104,9556102362205
-1;15,334375;0,8;66,6;33,0;-64,90841528928508;105,4377952755905;105,4377952755905
-1;15,334375;0,8;64,90000000000001;300;300;105,9199803149606;105,9199803149606
-1;15,334375;0,8;64,90000000000001;300;300;105,9199803149606;105,9199803149606
43;7,334375000000002;43,6;240,5;300;300;125,9306594488189;125,9306594488189
43;7,334375000000002;43,6;240,5;300;300;125,9306594488189;125,9306594488189
