angle;steering;sonarAngle;fronDistance;leftDistance;rightDistance,distance;fullDistance
-3;0,2610389610389612;3,4;75,40000000000001;65,3;32,1;74,7386811023622;74,7386811023622
-3;1,061038961038961;4,4;75,40000000000001;65,3;32,6;75,14050196850393;75,14050196850393
-3;1,661038961038961;4,0;75,40000000000001;65,3;32,6;75,62268700787401;75,62268700787401
-3;2,461038961038962;2,0;75,40000000000001;65,3;32,6;76,34596456692913;76,34596456692913
-3;2,461038961038962;1,2;75,40000000000001;65,3;-32,62523561512148;76,82814960629921;76,82814960629921
-3;2,461038961038962;1,8;73,00000000000001;300;300;77,31033464566929;77,31033464566929
-3;2,461038961038962;3,2;73,00000000000001;300;300;77,79251968503937;77,79251968503937
-3;2,461038961038962;4,4;72,1;300;300;78,3550688976378;78,3550688976378
-3;2,461038961038962;4,4;71,8;300;300;78,83725393700788;78,83725393700788
-3;2,461038961038962;3,4;71,20000000000001;300;300;79,31943897637796;79,31943897637796
-2;2,461038961038962;2,4;70,6;300;300;79,72125984251967;79,72125984251967
-2;2,461038961038962;1,8;69,70000000000001;300;300;80,36417322834644;80,36417322834644
-2;2,461038961038962;1,8;69,70000000000001;300;300;80,36417322834644;80,36417322834644
91;-10,13896103896104;-0,4;167,2;300;300;140,9587598425197;140,9587598425197
91;-10,13896103896104;-0,4;167,2;300;300;140,9587598425197;140,9587598425197
